Vehicle_Type,Vehicle_Age,Odometer,Maintenance_Count,Repair_Type,Severity,Parts_Available,Technician_Experience,Workshop_Load,Repair_Time_Hours
Mini Truck,7,267203,11,Clutch Repair,Medium,1,2,3,41.7
Mini Truck,7,272811,5,Clutch Repair,High,0,9,7,75.96
Bus,11,504372,9,Brake Repair,Low,0,2,1,49.58
Truck,8,396593,3,Battery Replacement,High,0,11,5,59.05
Van,4,159589,8,Suspension Repair,Low,0,14,8,40.3
Bus,8,308248,12,Oil Change,Medium,0,9,5,48.31
Bus,5,234901,12,Suspension Repair,High,0,1,7,68.47
Truck,1,30025,5,Clutch Repair,High,1,6,3,39.99
Mini Truck,4,172841,6,Engine Repair,High,1,14,1,54.89
Mini Truck,3,126172,11,Tyre Replacement,Medium,1,9,3,18.29
Mini Truck,4,113051,11,Tyre Replacement,High,0,11,10,68.59
Bus,9,266694,10,Engine Repair,Low,0,1,7,69.96
Van,1,45253,8,Brake Repair,High,1,1,3,36.03
Mini Truck,11,462758,5,Engine Repair,High,0,5,4,105.48
Van,12,498236,8,Oil Change,Medium,0,15,3,35.38
Truck,2,80089,9,Brake Repair,Low,0,5,5,35.54
Truck,2,82390,5,Engine Repair,Medium,0,8,1,73.28
Truck,8,364018,2,Engine Repair,High,1,7,6,69.28
Mini Truck,3,98567,4,Oil Change,Low,0,2,6,36.98
Mini Truck,10,407284,17,Oil Change,Low,1,15,2,18.01
Van,10,257747,17,Oil Change,High,0,4,6,58.25
Van,1,35732,2,Engine Repair,Low,0,5,5,68.36
Van,2,72842,8,Transmission Repair,Medium,1,7,9,66.78
Mini Truck,4,132780,2,Engine Repair,High,1,7,2,59.4
Bus,3,101978,11,Battery Replacement,Medium,1,7,10,25.58
Bus,6,178195,9,Suspension Repair,Medium,0,10,6,56.35
Truck,8,243843,1,Clutch Repair,Medium,1,5,10,41.23
Bus,7,182848,3,Tyre Replacement,Medium,1,13,3,17.29
Bus,4,109521,3,Electrical Repair,Medium,0,13,6,39.06
Truck,6,152857,11,Electrical Repair,Low,1,10,6,19.64
Van,9,242363,12,Transmission Repair,High,0,9,4,98.97
Bus,12,339229,18,Suspension Repair,High,1,6,6,59.85
Van,4,106509,12,Battery Replacement,Medium,0,5,7,37.95
Truck,8,244863,10,Suspension Repair,Low,0,5,1,58.49
Truck,8,274544,4,Suspension Repair,Low,0,6,1,36.88
Mini Truck,2,77202,4,Transmission Repair,Medium,1,7,2,56.76
Bus,8,360516,1,Suspension Repair,Medium,1,8,2,27.79
Bus,10,276933,0,Engine Repair,Low,0,3,2,71.29
Mini Truck,4,122307,1,Engine Repair,High,1,14,9,65.18
Truck,12,327520,8,Oil Change,Low,0,5,2,40.55
Bus,12,498996,8,Tyre Replacement,Low,1,2,3,22.85
Bus,3,129171,10,Battery Replacement,High,0,9,9,56.13
Mini Truck,11,531955,8,Electrical Repair,High,1,4,2,42.29
Bus,5,218242,1,Electrical Repair,High,0,11,4,47.26
Truck,8,215798,6,Oil Change,High,0,8,7,53.65
Mini Truck,2,72311,3,Clutch Repair,High,1,13,5,39.65
Mini Truck,11,355739,16,Brake Repair,Low,0,15,6,54.63
Mini Truck,10,384601,6,Suspension Repair,Low,0,5,7,53.13
Bus,10,419969,3,Tyre Replacement,Medium,0,12,2,40.72
Truck,8,249028,8,Oil Change,Medium,1,6,5,22.81
Truck,9,247037,11,Suspension Repair,Low,0,7,9,60.44
Bus,1,39461,4,Electrical Repair,Low,0,11,7,43.32
Van,5,149831,6,Tyre Replacement,High,1,9,10,39.18
Mini Truck,9,338656,3,Oil Change,High,0,2,4,56.13
Truck,1,43849,4,Engine Repair,Low,0,5,4,67.23
Mini Truck,7,201556,7,Transmission Repair,Medium,0,3,4,92.5
Bus,12,450983,0,Brake Repair,Low,1,12,5,21.19
Van,3,116302,10,Brake Repair,Low,0,6,8,38.83
Truck,11,523827,13,Electrical Repair,Low,0,5,2,45.83
Truck,10,342312,15,Oil Change,Medium,0,8,2,40.74
Truck,10,428270,9,Engine Repair,High,0,13,3,86.4
Truck,5,230367,11,Electrical Repair,Medium,1,12,6,27.23
Bus,11,530062,8,Electrical Repair,Medium,0,14,6,52.64
Bus,9,428037,15,Brake Repair,Medium,0,3,7,54.21
Van,6,280503,0,Engine Repair,High,1,6,4,65.42
Truck,4,149516,10,Brake Repair,Medium,1,15,9,25.19
Van,5,244318,10,Electrical Repair,Medium,1,10,7,26.24
Bus,5,149978,0,Clutch Repair,High,1,14,10,49.68
Truck,7,294282,11,Transmission Repair,Low,0,8,3,93.73
Van,9,300964,17,Tyre Replacement,Medium,1,5,2,28.3
Bus,1,39872,0,Engine Repair,Medium,0,1,8,75.88
Truck,7,267341,0,Oil Change,Medium,0,6,5,48.54
Van,2,96740,4,Tyre Replacement,High,0,7,10,49.57
Bus,4,104212,7,Electrical Repair,Low,1,7,7,23.88
Truck,5,245611,4,Transmission Repair,Low,1,11,6,59.28
Van,11,379598,8,Tyre Replacement,Medium,0,5,5,44.63
Bus,10,493038,14,Clutch Repair,Low,1,13,7,42.47
Truck,3,144018,7,Electrical Repair,High,1,8,6,36.6
Mini Truck,8,310233,13,Battery Replacement,Low,0,13,7,37.89
Van,10,487724,9,Engine Repair,High,1,3,10,82.83
Bus,1,49750,6,Tyre Replacement,Medium,0,8,9,46.29
Truck,2,53584,4,Brake Repair,Medium,0,14,5,48.11
Mini Truck,12,473700,1,Brake Repair,High,0,12,4,65.44
Van,9,419097,15,Tyre Replacement,Low,0,5,5,38.45
Mini Truck,10,430296,6,Brake Repair,Low,0,3,10,48.08
Truck,4,126777,1,Battery Replacement,Low,1,7,1,7.64
Truck,5,178026,7,Tyre Replacement,Low,1,14,10,20.63
Mini Truck,11,339590,13,Tyre Replacement,High,0,3,3,61.35
Van,9,419422,17,Engine Repair,Medium,1,5,5,68.03
Truck,10,379227,11,Transmission Repair,Medium,1,12,2,71.87
Mini Truck,7,286367,4,Oil Change,Medium,1,2,10,31.78
Mini Truck,1,44023,4,Oil Change,High,1,1,6,30.66
Van,8,389547,14,Transmission Repair,Low,0,6,9,99.97
Van,6,287640,6,Clutch Repair,Low,0,11,3,49.05
Bus,8,387480,4,Transmission Repair,High,1,15,7,80.76
Truck,11,528621,12,Battery Replacement,High,0,10,9,74.57
Bus,3,117477,9,Electrical Repair,High,1,2,1,34.2
Truck,12,383455,7,Brake Repair,High,0,8,8,70.25
Van,12,424055,3,Tyre Replacement,High,1,13,7,41.3
Truck,1,45050,4,Brake Repair,Low,0,8,6,25.71
Van,6,178222,11,Battery Replacement,Medium,0,11,10,58.66
Van,4,133095,7,Battery Replacement,High,1,4,4,31.76
Van,7,313550,6,Brake Repair,High,0,11,2,47.98
Truck,3,75686,5,Suspension Repair,High,0,6,3,63.28
Mini Truck,4,127194,9,Battery Replacement,High,1,6,10,39.28
Van,2,78762,6,Suspension Repair,Low,0,3,9,46.47
Truck,2,82683,3,Oil Change,High,1,1,4,29.93
Bus,5,176173,11,Electrical Repair,Low,0,5,2,51.92
Van,9,385234,16,Transmission Repair,Medium,0,9,2,104.49
Mini Truck,5,210620,0,Oil Change,Medium,1,5,4,16.88
Bus,1,29564,3,Clutch Repair,High,1,15,1,36.88
Van,8,219113,1,Electrical Repair,Low,1,10,10,26.39
Truck,9,350507,4,Transmission Repair,High,0,2,1,105.53
Van,11,458635,13,Battery Replacement,Medium,0,1,1,39.56
Van,9,384419,12,Oil Change,High,1,1,7,45.14
Mini Truck,12,365660,13,Suspension Repair,High,0,2,8,73.58
Bus,6,200763,5,Suspension Repair,Low,0,4,2,52.65
Truck,4,154141,11,Clutch Repair,High,0,13,1,61.66
Truck,2,53712,2,Battery Replacement,Low,1,1,6,12.54
Bus,10,421759,7,Transmission Repair,Low,1,8,2,63.99
Truck,2,66397,8,Engine Repair,Medium,1,15,4,49.85
Mini Truck,12,458711,11,Clutch Repair,Medium,0,9,5,70.49
Truck,1,36358,6,Battery Replacement,Medium,0,4,3,39.49
Van,5,222243,8,Engine Repair,Low,1,12,3,40.21
Truck,4,191533,7,Battery Replacement,Low,0,8,1,30.58
Bus,10,350709,9,Brake Repair,Low,1,14,10,26.67
Mini Truck,8,204941,12,Suspension Repair,Medium,0,4,4,59.6
Van,11,501012,17,Oil Change,High,1,1,9,51.27
Bus,1,44947,5,Transmission Repair,High,0,13,1,84.25
Mini Truck,7,189973,3,Clutch Repair,Medium,1,14,9,40.18
Mini Truck,7,325104,8,Tyre Replacement,Medium,1,12,4,23.77
Van,1,34197,4,Brake Repair,Low,1,6,10,18.59
Mini Truck,1,45170,4,Electrical Repair,Medium,1,13,10,19.87
Truck,2,70112,9,Electrical Repair,Medium,0,8,8,38.91
Mini Truck,1,40284,0,Electrical Repair,Medium,0,7,1,44.49
Truck,5,242577,9,Clutch Repair,Medium,0,8,3,52.67
Bus,5,238908,7,Tyre Replacement,Low,0,3,10,38.06
Van,2,92899,0,Tyre Replacement,High,1,10,6,27.3
Truck,9,413051,7,Oil Change,High,1,5,1,35.29
Bus,9,413303,1,Engine Repair,Medium,0,2,9,90.97
Truck,9,245303,7,Engine Repair,Medium,1,14,7,56.71
Truck,11,498595,9,Tyre Replacement,Low,1,10,6,27.48
Bus,7,345912,11,Battery Replacement,Medium,0,3,6,41.84
Bus,3,78346,1,Engine Repair,Medium,1,4,7,53.13
Truck,11,353682,12,Brake Repair,Low,0,10,9,60.17
Mini Truck,9,417163,3,Clutch Repair,Low,1,11,9,37.29
Mini Truck,6,220564,3,Transmission Repair,Low,1,4,6,60.94
Van,8,282527,3,Engine Repair,Medium,1,6,2,52.58
Bus,9,357551,2,Electrical Repair,High,1,10,4,42.4
Mini Truck,7,235231,4,Clutch Repair,Low,1,11,10,33.81
Van,10,318230,9,Electrical Repair,Medium,0,2,7,59.76
Van,10,379551,6,Tyre Replacement,Medium,0,3,2,53.14
Bus,9,411484,15,Brake Repair,Low,0,14,7,39.9
Van,2,58675,8,Clutch Repair,Medium,1,6,3,30.35
Mini Truck,12,591997,7,Transmission Repair,Low,1,15,6,70.9
Truck,12,323717,2,Electrical Repair,Medium,1,11,8,32.63
Mini Truck,5,224308,7,Tyre Replacement,High,0,12,10,70.6
Truck,3,76020,9,Electrical Repair,High,1,7,6,40.02
Mini Truck,3,141672,11,Transmission Repair,Low,0,5,8,86.74
Truck,10,385706,16,Clutch Repair,Medium,1,6,7,54.87
Bus,3,93769,0,Engine Repair,Medium,1,10,10,53.13
Bus,2,72763,4,Tyre Replacement,Low,1,5,8,17.21
Mini Truck,4,122193,4,Transmission Repair,High,0,15,4,92.22
Van,2,63555,8,Clutch Repair,Low,0,10,1,53.14
Van,1,41002,0,Electrical Repair,Low,1,10,7,17.43
Mini Truck,9,258076,14,Transmission Repair,Low,0,8,7,97.74
Bus,2,58966,4,Brake Repair,Medium,0,12,4,29.08
Bus,3,141461,5,Transmission Repair,Medium,0,12,6,77.23
Mini Truck,2,96209,8,Electrical Repair,Low,0,11,1,29.11
Van,10,348620,7,Engine Repair,Medium,1,3,8,70.21
Van,12,560427,9,Tyre Replacement,Low,0,9,4,36.58
Mini Truck,2,82157,8,Engine Repair,High,0,1,7,88.39
Mini Truck,11,398058,11,Battery Replacement,High,0,15,5,58.15
Bus,11,529311,15,Suspension Repair,High,1,9,8,55.7
Bus,2,64347,1,Transmission Repair,Medium,1,6,4,57.6
Mini Truck,2,61547,7,Electrical Repair,High,0,6,7,56.82
Mini Truck,8,357563,13,Engine Repair,Low,1,5,9,60.86
Van,7,190939,10,Transmission Repair,High,1,7,7,82.72
Mini Truck,7,279511,8,Oil Change,Medium,1,12,4,21.87
Bus,11,298922,9,Battery Replacement,Medium,0,10,3,55.56
Van,11,332837,19,Electrical Repair,Low,0,12,1,51.57
Truck,12,474738,11,Clutch Repair,Low,0,9,4,64.44
Van,3,145215,6,Engine Repair,Medium,0,15,6,71.14
Mini Truck,4,172476,11,Engine Repair,Low,0,14,1,67.28
Truck,9,329316,15,Oil Change,Low,1,5,1,22.3
Van,11,404661,1,Transmission Repair,High,0,14,7,106.2
Van,12,441557,2,Brake Repair,Low,1,1,1,21.41
Van,2,98226,9,Suspension Repair,Low,1,13,6,24.34
Mini Truck,9,419899,0,Transmission Repair,Medium,1,4,2,67.51
Bus,11,522149,12,Transmission Repair,Medium,0,4,7,111.43
Bus,8,274559,16,Engine Repair,Medium,0,8,7,92.38
Truck,8,258736,0,Suspension Repair,Low,1,6,8,27.7
Truck,11,437849,10,Tyre Replacement,High,0,2,9,68.93
Van,8,355558,7,Brake Repair,Low,1,10,8,25.97
Van,1,41168,4,Suspension Repair,Medium,1,14,3,20.05
Truck,6,298193,9,Suspension Repair,Low,1,12,4,27.74
Mini Truck,9,356023,10,Engine Repair,Medium,1,12,8,64.38
Truck,2,77898,1,Suspension Repair,Low,0,3,9,41.46
Van,4,157357,1,Oil Change,Medium,1,3,9,25.92
Mini Truck,3,146707,6,Suspension Repair,Low,1,2,7,26.44
Bus,12,442138,16,Electrical Repair,High,1,10,3,46.24
Van,5,193583,10,Engine Repair,High,1,9,10,72.25
Bus,8,321341,6,Electrical Repair,High,0,3,9,72.18
Truck,6,259131,2,Tyre Replacement,Medium,0,1,5,45.6
Van,12,349203,17,Battery Replacement,Medium,0,1,10,65.99
Van,2,72967,10,Clutch Repair,Low,1,11,1,21.79
Van,5,162249,13,Suspension Repair,High,1,6,10,52.17
Mini Truck,5,198546,8,Engine Repair,Low,0,2,4,71.0
Van,5,198880,1,Tyre Replacement,High,1,6,10,39.72
Bus,12,548201,6,Tyre Replacement,Low,0,4,2,39.8
Van,3,137320,0,Electrical Repair,Low,0,3,9,47.11
Mini Truck,11,522300,10,Transmission Repair,High,0,4,9,118.79
Mini Truck,7,299381,11,Transmission Repair,High,1,9,2,79.66
Van,3,111403,11,Tyre Replacement,Medium,1,8,5,20.82
Truck,9,339141,11,Tyre Replacement,Low,1,14,8,27.11
Bus,12,522338,6,Clutch Repair,Low,1,6,3,38.31
Truck,4,157944,5,Clutch Repair,Low,0,10,5,51.25
Truck,6,216521,8,Oil Change,High,1,1,5,38.39
Mini Truck,7,186512,8,Transmission Repair,High,0,10,1,104.11
Mini Truck,8,245553,15,Clutch Repair,Low,0,6,1,49.62
Van,3,85855,6,Brake Repair,Low,1,11,1,6.56
Bus,2,85657,4,Engine Repair,High,0,6,6,81.66
Bus,9,228714,12,Suspension Repair,High,0,2,4,76.58
Van,12,439794,2,Tyre Replacement,Medium,0,5,10,51.94
Mini Truck,3,75422,4,Transmission Repair,High,1,2,6,79.33
Mini Truck,10,469180,2,Battery Replacement,Low,0,15,2,31.77
Truck,3,116615,9,Oil Change,Low,0,4,6,42.31
Truck,12,429358,9,Engine Repair,High,0,5,1,96.31
Bus,3,111564,2,Electrical Repair,Medium,0,14,4,41.52
Van,3,113657,4,Battery Replacement,Medium,0,8,6,48.62
Bus,6,287112,7,Tyre Replacement,Low,1,3,9,29.87
Van,12,527464,11,Transmission Repair,Low,1,12,9,76.41
Bus,2,83637,3,Transmission Repair,Low,1,5,1,47.71
Truck,9,397577,5,Battery Replacement,Low,1,10,6,20.98
Bus,10,349066,18,Oil Change,Medium,0,11,6,44.65
Van,7,299648,10,Electrical Repair,High,0,3,6,69.78
Van,8,343334,5,Oil Change,Medium,1,10,10,30.68
Mini Truck,12,509365,15,Engine Repair,Medium,1,10,6,67.72
Mini Truck,11,485319,9,Oil Change,Low,0,7,7,44.0
Mini Truck,10,257485,5,Clutch Repair,Low,1,15,10,37.66
Van,10,447092,4,Tyre Replacement,High,1,13,1,29.87
Truck,5,228922,12,Tyre Replacement,Medium,1,7,3,21.23
Mini Truck,1,46581,2,Engine Repair,Low,1,5,2,40.04
Van,4,126649,6,Brake Repair,High,0,3,9,68.31
Truck,8,241767,11,Brake Repair,Medium,1,12,4,27.51
Mini Truck,11,472285,14,Engine Repair,Low,1,3,6,60.73
Van,7,260750,9,Suspension Repair,High,1,9,2,42.6
Bus,8,375604,0,Engine Repair,High,0,13,4,89.55
Bus,6,281453,13,Oil Change,High,1,15,2,29.49
Van,3,140529,3,Oil Change,Low,1,7,2,6.84
Bus,7,346453,5,Suspension Repair,Low,1,5,7,30.69
Mini Truck,1,33553,6,Tyre Replacement,Low,1,11,9,12.87
Truck,8,221663,11,Brake Repair,High,1,13,1,35.51
Van,6,183748,9,Clutch Repair,Medium,1,1,8,44.9
Mini Truck,7,189289,9,Suspension Repair,Medium,0,10,8,65.23
Bus,8,386652,10,Clutch Repair,Medium,0,13,3,61.19
Mini Truck,11,316947,4,Oil Change,Medium,1,4,9,31.19
Mini Truck,7,187725,14,Transmission Repair,Low,0,14,8,94.72
Bus,1,44638,5,Transmission Repair,Medium,1,11,5,59.1
Truck,9,295054,5,Transmission Repair,Medium,1,1,8,80.1
Bus,5,208359,0,Brake Repair,Medium,0,9,7,41.78
Van,2,85060,1,Tyre Replacement,High,0,11,8,55.4
Bus,6,270070,11,Engine Repair,High,1,1,2,71.07
Bus,6,160036,2,Brake Repair,Medium,0,6,5,45.66
Mini Truck,1,31027,4,Brake Repair,Medium,0,13,4,41.59
Bus,5,205685,8,Clutch Repair,Low,0,6,10,62.61
Van,7,247033,5,Transmission Repair,High,0,10,7,101.2
Bus,5,125662,6,Engine Repair,Low,1,11,3,42.65
Bus,5,185613,9,Electrical Repair,Low,0,4,1,45.17
Van,2,90067,4,Battery Replacement,High,1,11,10,31.97
Bus,9,326984,15,Clutch Repair,Low,1,6,6,41.74
Bus,8,239787,14,Battery Replacement,Low,0,11,7,45.58
Mini Truck,1,46649,9,Brake Repair,High,1,9,6,37.98
Truck,4,198043,8,Electrical Repair,Medium,1,13,6,29.9
Mini Truck,11,520041,0,Tyre Replacement,High,0,10,6,71.22
Mini Truck,7,181136,9,Clutch Repair,High,1,4,7,57.46
Van,7,334153,3,Brake Repair,Medium,0,4,2,54.63
Bus,3,95855,11,Suspension Repair,High,1,6,4,43.22
Mini Truck,10,323106,10,Electrical Repair,High,0,11,6,72.53
Mini Truck,4,152948,7,Battery Replacement,Medium,1,3,3,17.29
Mini Truck,5,125437,8,Electrical Repair,Medium,0,11,2,45.45
Mini Truck,7,282556,6,Oil Change,High,0,3,10,70.89
Truck,10,399575,13,Oil Change,Medium,0,3,10,64.39
Truck,6,155955,11,Suspension Repair,High,0,14,3,67.55
Bus,12,425470,5,Battery Replacement,High,0,6,3,60.77
Truck,1,31783,9,Battery Replacement,Medium,0,11,10,48.39
Van,3,135477,8,Brake Repair,High,1,14,3,33.01
Van,8,389280,2,Oil Change,High,0,11,7,61.71
Mini Truck,7,193445,13,Transmission Repair,High,0,12,10,116.85
Truck,8,326040,1,Transmission Repair,Medium,0,6,7,97.43
Mini Truck,7,207520,3,Tyre Replacement,Medium,0,12,3,36.54
Mini Truck,11,453171,4,Engine Repair,Medium,0,5,2,79.77
Truck,8,385881,15,Engine Repair,Medium,1,5,8,67.92
Bus,8,383385,8,Transmission Repair,High,0,13,3,97.96
Bus,1,32242,5,Electrical Repair,High,1,5,3,32.78
Bus,8,386929,14,Transmission Repair,Low,0,3,10,96.02
Mini Truck,5,208461,3,Oil Change,Low,1,3,10,25.09
Truck,5,172731,11,Clutch Repair,High,1,8,10,59.47
Van,6,190862,9,Clutch Repair,Medium,1,7,8,43.97
Van,9,351367,5,Battery Replacement,Medium,0,11,2,40.96
Van,5,152057,3,Tyre Replacement,Medium,0,11,4,37.9
Mini Truck,8,349266,0,Clutch Repair,Low,0,6,1,50.05
Truck,6,283016,1,Transmission Repair,High,0,13,1,98.41
Van,4,133563,12,Tyre Replacement,High,0,4,8,61.1
Truck,10,319668,17,Transmission Repair,Low,0,12,2,84.58
Bus,1,31806,3,Engine Repair,High,1,8,2,55.04
Truck,6,169150,3,Battery Replacement,Low,1,2,8,17.35
Van,2,85544,9,Engine Repair,High,1,5,10,72.24
Truck,10,362657,3,Battery Replacement,High,0,10,10,64.59
Truck,5,223901,6,Transmission Repair,Medium,0,6,9,100.19
Bus,11,432096,8,Clutch Repair,Low,1,5,9,44.53
Bus,11,505709,3,Tyre Replacement,Medium,0,6,9,59.73
Mini Truck,3,98435,1,Suspension Repair,High,1,2,8,40.29
Bus,11,370764,6,Brake Repair,Low,0,5,9,53.23
Bus,9,348699,3,Transmission Repair,High,0,10,3,99.02
Van,4,151935,12,Tyre Replacement,Low,0,6,9,47.68
Mini Truck,12,441234,7,Transmission Repair,Medium,1,6,3,67.27
Bus,6,242781,13,Electrical Repair,Medium,1,7,10,37.87
Mini Truck,7,176487,12,Oil Change,Medium,1,11,3,24.41
Mini Truck,5,127553,13,Engine Repair,Low,1,5,6,56.9
Truck,6,262066,12,Suspension Repair,Medium,0,13,4,58.51
Mini Truck,5,139003,1,Engine Repair,Low,1,12,8,46.29
Mini Truck,1,46607,6,Battery Replacement,Low,1,10,10,16.2
Mini Truck,1,28323,0,Electrical Repair,Medium,1,8,5,16.39
Truck,8,235201,2,Electrical Repair,High,1,14,3,34.66
Van,10,328343,18,Engine Repair,High,0,8,4,99.82
Bus,9,364205,9,Oil Change,Low,0,14,6,45.0
Mini Truck,12,412623,5,Electrical Repair,Medium,0,8,6,56.63
Van,11,410804,8,Oil Change,Low,0,11,7,48.2
Mini Truck,8,212591,16,Oil Change,High,1,1,10,47.37
Mini Truck,1,41522,5,Clutch Repair,Medium,1,10,6,29.86
Truck,12,339611,18,Brake Repair,High,0,9,3,73.84
Truck,10,491827,14,Engine Repair,Low,1,14,5,57.55
Mini Truck,8,393707,4,Electrical Repair,Low,0,11,10,52.76
Mini Truck,9,429764,13,Oil Change,Medium,1,1,10,36.99
Mini Truck,1,25279,3,Electrical Repair,Medium,0,5,4,52.74
Bus,9,344997,6,Electrical Repair,High,0,4,3,59.41
Bus,3,88224,0,Clutch Repair,High,0,13,3,66.94
Bus,2,71460,5,Engine Repair,High,0,4,5,79.22
Mini Truck,5,155537,3,Electrical Repair,Low,0,15,8,29.61
Mini Truck,1,39547,3,Suspension Repair,Low,1,8,7,22.36
Van,4,149873,9,Brake Repair,Low,0,9,10,54.07
Truck,3,102477,1,Battery Replacement,High,1,12,6,26.36
Mini Truck,4,127568,1,Clutch Repair,Medium,1,5,9,38.81
Truck,8,204232,0,Suspension Repair,Medium,1,14,2,24.47
Bus,6,231259,13,Brake Repair,Medium,1,4,2,23.49
Mini Truck,8,204154,8,Electrical Repair,Low,0,14,4,35.98
Truck,3,142976,2,Tyre Replacement,High,1,13,1,23.52
Truck,10,460339,6,Transmission Repair,Medium,1,14,3,65.39
Mini Truck,3,97890,8,Tyre Replacement,High,0,6,2,46.17
Truck,8,253497,9,Suspension Repair,High,1,15,5,41.22
Bus,1,25846,5,Oil Change,Medium,0,12,3,36.59
Truck,9,323837,16,Tyre Replacement,Low,0,1,6,47.77
Truck,7,192386,3,Battery Replacement,Medium,1,14,9,19.89
Mini Truck,3,75094,4,Battery Replacement,Medium,1,3,6,22.08
Bus,10,425225,3,Battery Replacement,Medium,0,3,4,52.28
Van,3,104563,10,Brake Repair,High,0,12,7,56.13
Truck,4,129651,4,Tyre Replacement,High,1,6,8,35.9
Bus,3,117984,6,Electrical Repair,High,0,10,1,56.18
Truck,4,123877,0,Tyre Replacement,High,0,14,4,40.01
Mini Truck,6,153070,9,Battery Replacement,Medium,1,4,10,30.35
Mini Truck,8,256318,14,Transmission Repair,High,1,2,5,88.52
Bus,6,198842,4,Electrical Repair,Medium,1,11,2,22.37
Bus,9,293908,2,Electrical Repair,Medium,0,9,3,40.79
Van,8,229133,3,Clutch Repair,High,1,3,6,52.06
Bus,8,314337,2,Clutch Repair,Low,1,14,9,32.99
Van,3,104079,0,Engine Repair,High,1,9,10,67.01
Van,10,475424,16,Clutch Repair,Low,1,9,4,38.21
Van,6,191615,1,Tyre Replacement,High,0,14,3,49.67
Mini Truck,4,136493,0,Suspension Repair,Medium,1,15,9,29.14
Mini Truck,8,322684,10,Tyre Replacement,High,1,1,2,39.63
Bus,12,591376,9,Engine Repair,High,0,1,7,93.99
Van,8,242009,7,Suspension Repair,Low,1,7,10,32.5
Van,4,145928,1,Engine Repair,Medium,0,15,7,66.5
Van,4,158114,2,Transmission Repair,Medium,0,11,2,90.1
Bus,9,251899,15,Engine Repair,High,1,5,2,71.86
Mini Truck,3,84227,11,Electrical Repair,Medium,0,7,5,39.99
Mini Truck,7,328348,5,Battery Replacement,Medium,0,9,2,32.02
Bus,4,187151,7,Suspension Repair,Medium,0,11,2,47.52
Bus,5,208920,8,Electrical Repair,Medium,1,6,2,23.0
Truck,2,96733,7,Engine Repair,High,1,4,10,69.87
Mini Truck,11,414331,3,Battery Replacement,High,1,10,9,41.18
Mini Truck,1,44715,1,Brake Repair,High,0,2,4,51.24
Mini Truck,7,185450,11,Battery Replacement,Medium,0,7,7,39.5
Van,10,297379,0,Electrical Repair,Low,1,15,7,25.32
Truck,12,539402,8,Electrical Repair,High,1,6,4,48.44
Bus,8,212530,10,Battery Replacement,High,1,13,3,31.72
Van,9,427062,17,Electrical Repair,High,1,13,6,47.99
Van,8,223296,10,Electrical Repair,High,0,6,5,55.61
Truck,11,487895,10,Battery Replacement,High,0,13,7,62.35
Bus,12,554510,11,Electrical Repair,Medium,1,13,3,33.19
Van,6,154175,1,Engine Repair,High,1,15,9,66.18
Bus,9,366100,5,Suspension Repair,High,0,4,2,64.75
Mini Truck,5,144105,11,Electrical Repair,High,1,7,3,38.64
Mini Truck,2,98253,4,Brake Repair,Medium,0,8,1,32.18
Van,11,418543,0,Battery Replacement,Low,0,4,4,43.73
Van,3,76627,4,Engine Repair,Low,1,14,8,48.26
Mini Truck,9,369500,6,Suspension Repair,Low,1,11,10,34.72
Mini Truck,12,437097,11,Transmission Repair,Medium,1,6,4,73.39
Bus,9,318604,2,Tyre Replacement,Medium,0,13,9,58.72
Van,2,83256,7,Clutch Repair,Medium,0,13,10,55.4
Bus,12,590493,7,Battery Replacement,Medium,0,8,10,66.55
Mini Truck,10,364343,2,Tyre Replacement,Low,1,9,1,15.5
Bus,8,385154,4,Brake Repair,High,1,2,5,41.06
Bus,12,314458,19,Battery Replacement,Medium,0,7,4,61.21
Bus,9,407768,9,Electrical Repair,Low,1,3,9,34.41
Bus,1,44975,0,Electrical Repair,High,0,13,2,40.36
Mini Truck,12,384519,6,Engine Repair,High,0,14,3,81.71
Mini Truck,12,362652,10,Brake Repair,Low,1,10,7,27.63
Mini Truck,7,299363,4,Electrical Repair,Low,0,5,6,40.11
Mini Truck,5,190494,1,Tyre Replacement,Medium,1,4,4,21.06
Bus,11,317765,10,Battery Replacement,Low,1,1,10,30.91
Truck,9,240504,11,Brake Repair,Low,0,9,1,30.0
Bus,7,255285,0,Electrical Repair,Low,0,4,10,52.64
Van,9,282245,11,Brake Repair,High,0,10,6,74.17
Van,8,385170,5,Clutch Repair,Low,1,1,10,47.48
Truck,9,433049,3,Transmission Repair,Medium,0,6,3,96.4
Van,2,82614,3,Tyre Replacement,High,1,8,9,33.47
Mini Truck,8,230508,2,Electrical Repair,Low,1,3,4,24.53
Mini Truck,4,152990,0,Electrical Repair,Low,1,13,10,20.37
Truck,9,248842,10,Clutch Repair,High,1,13,9,58.09
Van,5,166984,2,Battery Replacement,Low,1,11,7,11.25
Mini Truck,7,273845,2,Battery Replacement,Low,1,2,6,19.2
Mini Truck,10,351923,9,Battery Replacement,Medium,0,9,1,39.34
Truck,5,241928,9,Clutch Repair,Low,1,12,1,27.39
Truck,1,34926,6,Engine Repair,Medium,0,14,7,80.02
Van,9,322209,1,Engine Repair,Low,1,3,4,56.1
Bus,2,96794,3,Battery Replacement,Low,0,1,7,33.93
Truck,5,125621,3,Electrical Repair,Low,1,14,4,15.01
Bus,7,186732,4,Tyre Replacement,High,0,10,5,58.36
Bus,4,185634,11,Transmission Repair,Medium,0,7,7,94.15
