Vehicle_Type,Fuel_Type,Vehicle_Age,Average_Mileage,Trip_Distance,Max_Capacity,Cargo_Weight,Traffic,Road_Type,AC,Fuel_Required
Bus,Diesel,5,4.99,526,1,0,Medium,Mixed,1,135.43
Truck,Petrol,3,5.48,976,6450,6001,Low,Mixed,0,228.15
Van,Petrol,12,11.35,183,1850,1737,Low,Mixed,1,22.19
Bus,Petrol,11,3.95,420,1,1,Low,Mixed,1,150.96
Bus,Diesel,12,4.71,154,1,0,Medium,Mixed,0,45.08
Bus,Petrol,11,3.33,472,0,0,High,City,1,218.94
Van,Diesel,4,13.83,686,900,752,Low,City,0,67.01
Van,Petrol,7,13.08,118,844,57,Medium,City,0,12.06
Truck,Diesel,9,4.95,662,10107,2434,High,City,0,201.2
Truck,Diesel,4,4.19,630,7959,5635,Low,Mixed,1,195.82
Truck,Petrol,11,4.15,31,10292,6018,Low,Highway,0,7.85
Truck,Petrol,11,5.01,43,11351,3685,High,Mixed,1,12.72
Bus,Diesel,10,3.36,325,1,1,High,Highway,0,143.09
Bus,Diesel,12,4.82,435,0,0,High,Highway,1,125.93
Mini Truck,Diesel,9,9.35,858,3207,2923,High,Highway,0,136.04
Truck,Diesel,10,5.09,477,3087,2272,Medium,Highway,0,124.29
Van,Diesel,11,9.97,891,1651,525,Low,Highway,0,106.2
Bus,Petrol,9,3.34,274,0,0,Medium,Highway,1,100.25
Mini Truck,Diesel,10,7.96,952,2281,2140,Medium,Mixed,0,171.53
Truck,Diesel,4,3.11,896,5321,2455,Low,Highway,0,323.82
Bus,Petrol,3,4.46,583,1,0,Medium,City,1,175.11
Van,Petrol,8,9.5,455,1020,692,High,Highway,0,70.13
Truck,Petrol,11,5.09,401,6156,5852,High,Mixed,0,124.01
Mini Truck,Diesel,6,9.97,46,2776,1552,High,Highway,0,7.66
Bus,Diesel,9,3.22,357,1,0,High,Highway,1,150.74
Bus,Petrol,3,4.74,300,0,0,Low,Highway,1,68.15
Van,Petrol,2,13.7,559,752,179,High,City,1,61.56
Truck,Petrol,12,4.72,297,7620,4518,High,Highway,0,91.82
Van,Petrol,7,10.08,564,1888,1615,High,Mixed,1,86.18
Mini Truck,Diesel,5,6.04,179,3103,2921,High,Highway,0,44.43
Mini Truck,Petrol,1,9.67,744,3618,1516,Low,Mixed,1,95.17
Mini Truck,Diesel,8,9.94,313,2919,2057,Medium,City,0,45.12
Bus,Diesel,5,3.81,669,1,0,Low,Highway,0,184.85
Truck,Diesel,10,3.17,971,7683,4539,Medium,Highway,1,416.05
Van,Petrol,8,12.09,565,1886,1818,High,Highway,1,71.51
Truck,Diesel,12,3.02,787,9962,8754,Medium,Highway,0,358.49
Mini Truck,Diesel,11,9.72,199,3144,921,Low,City,0,26.07
Bus,Diesel,7,3.99,402,0,0,Low,City,0,122.89
Truck,Petrol,5,4.45,22,7337,1745,High,Mixed,1,8.54
Van,Petrol,11,12.09,933,572,474,High,City,0,126.38
Bus,Diesel,10,3.92,129,1,1,Low,City,0,46.61
Mini Truck,Petrol,1,6.41,106,3015,809,High,Mixed,0,23.39
Mini Truck,Diesel,8,6.03,251,3689,1024,Medium,City,1,56.1
Bus,Petrol,7,4.78,469,1,0,High,City,0,142.67
Van,Petrol,12,11.6,133,1235,406,Low,City,0,13.15
Van,Petrol,7,13.46,702,564,164,Low,City,1,68.53
Truck,Petrol,8,4.65,789,5087,2661,Medium,Mixed,1,236.91
Van,Diesel,2,13.76,372,758,159,High,Highway,0,32.99
Truck,Petrol,7,5.93,511,3131,1779,Medium,City,1,128.26
Truck,Petrol,4,4.85,275,11376,3061,Medium,Highway,1,69.66
Van,Petrol,4,11.84,645,711,514,Low,Highway,0,64.16
Van,Diesel,3,11.41,971,1060,393,Low,City,0,106.04
Van,Diesel,1,11.28,736,1575,627,High,Highway,0,85.5
Bus,Petrol,8,3.12,331,1,0,Low,City,1,135.89
Bus,Petrol,12,3.84,206,1,0,Low,Highway,0,58.54
Bus,Diesel,5,3.94,461,0,0,Low,City,1,147.45
Bus,Petrol,5,3.22,719,0,0,High,Highway,1,294.15
Bus,Petrol,12,4.56,685,1,0,Medium,Highway,1,188.91
Truck,Diesel,3,4.89,620,4971,336,High,Highway,0,159.52
Mini Truck,Diesel,2,9.77,328,3535,1404,High,City,0,50.87
Van,Diesel,3,10.15,278,1627,1457,High,City,1,45.15
Mini Truck,Diesel,7,6.27,973,2716,2145,High,Highway,0,221.83
Bus,Diesel,5,3.09,833,0,0,High,Highway,1,355.43
Mini Truck,Diesel,3,7.75,595,3086,1573,Medium,City,1,108.77
Van,Diesel,1,9.96,733,946,606,Low,Mixed,1,94.88
Bus,Petrol,4,3.59,195,1,0,Low,Highway,0,56.95
Bus,Diesel,11,3.3,296,1,0,Low,Mixed,0,107.26
Van,Diesel,1,12.89,397,1795,1239,Medium,Highway,1,40.79
Van,Petrol,10,10.77,863,617,10,Medium,Highway,1,100.68
Van,Petrol,1,12.22,759,1694,217,High,Mixed,1,85.59
Bus,Diesel,8,3.44,615,1,0,High,City,0,258.99
Mini Truck,Diesel,12,8.91,943,2509,607,Medium,Highway,1,138.93
Van,Petrol,3,13.89,603,860,193,Medium,Mixed,0,54.24
Bus,Diesel,5,3.33,857,0,0,Medium,Mixed,0,317.42
Truck,Diesel,2,4.28,122,10455,6594,High,Mixed,0,40.92
Truck,Diesel,7,4.15,801,4802,111,High,Highway,0,250.67
Van,Diesel,5,9.86,33,1784,1228,Low,Highway,1,4.0
Truck,Diesel,3,4.44,334,10279,2672,Medium,City,0,99.9
Van,Diesel,9,13.15,146,1785,1113,Low,Highway,0,10.95
Bus,Diesel,9,4.77,21,1,0,Low,Highway,0,5.9
Mini Truck,Petrol,3,7.41,963,2174,925,High,City,0,192.31
Mini Truck,Diesel,2,6.9,98,2154,1463,High,City,0,22.68
Bus,Diesel,1,4.21,458,0,0,High,City,0,146.65
Mini Truck,Diesel,11,8.75,313,3559,3348,Medium,Highway,1,53.64
Mini Truck,Petrol,5,9.24,98,3913,3271,Low,Highway,0,12.56
Bus,Diesel,7,3.89,135,1,0,High,City,1,53.04
Van,Diesel,6,14.97,414,872,785,Medium,City,1,40.84
Mini Truck,Petrol,12,9.89,671,3464,3250,Medium,Highway,0,94.97
Mini Truck,Petrol,9,7.99,565,3186,2017,High,Highway,1,102.96
Truck,Petrol,9,4.73,109,6593,5759,Low,City,0,31.45
Van,Diesel,6,12.35,81,773,112,Medium,City,0,11.06
Bus,Petrol,3,4.67,235,1,0,Low,Highway,0,51.6
Truck,Diesel,7,5.2,75,9958,6089,High,Highway,0,20.45
Mini Truck,Diesel,1,6.59,270,1578,161,Low,Highway,1,45.23
Van,Diesel,8,13.46,991,1580,1430,Medium,City,1,114.19
Bus,Petrol,11,4.39,179,1,0,Low,Mixed,0,48.7
Van,Diesel,1,11.38,587,1367,930,High,City,1,80.52
Van,Petrol,3,10.63,406,688,534,Low,Mixed,0,50.62
Mini Truck,Diesel,4,7.57,881,3290,2478,Low,Mixed,1,151.87
Mini Truck,Petrol,11,8.57,75,2558,675,Medium,Mixed,1,12.38
Van,Petrol,2,9.63,817,1242,1235,Medium,Highway,0,111.47
Bus,Diesel,9,3.21,631,0,0,Low,City,0,245.08
Van,Diesel,4,10.62,65,1667,1156,High,City,0,10.82
Truck,Petrol,2,5.83,789,3138,1460,Medium,City,0,183.98
Bus,Petrol,12,3.71,739,0,0,High,Highway,1,275.5
Mini Truck,Diesel,9,9.23,621,1615,48,Medium,City,0,92.48
Bus,Diesel,3,4.36,926,0,0,High,Highway,0,264.11
Van,Diesel,12,9.97,766,1527,1057,High,Mixed,1,122.88
Mini Truck,Diesel,6,7.16,982,3553,3505,Medium,Highway,1,189.4
Van,Diesel,10,12.64,662,812,580,Medium,Highway,0,69.5
Van,Petrol,9,14.21,116,678,510,Medium,City,0,12.44
Bus,Diesel,2,3.56,111,1,1,Low,Highway,1,39.36
Bus,Petrol,5,4.53,982,1,0,Low,Mixed,1,256.3
Truck,Petrol,5,4.2,395,5113,3611,High,Mixed,1,145.56
Bus,Diesel,11,3.83,918,1,1,High,Highway,0,362.47
Van,Diesel,3,14.12,182,1095,769,High,City,0,19.38
Van,Petrol,8,13.01,499,1214,954,High,Mixed,1,61.43
Truck,Diesel,3,5.2,224,9503,7096,Medium,City,0,62.36
Bus,Petrol,10,3.97,305,1,0,Medium,Highway,0,90.72
Mini Truck,Diesel,11,6.85,635,3327,128,Medium,Highway,1,118.16
Mini Truck,Petrol,4,6.22,296,1093,866,Medium,Mixed,0,65.69
Truck,Diesel,2,3.82,914,4338,2443,High,City,1,368.44
Van,Petrol,3,13.98,370,689,438,Medium,Highway,0,34.59
Bus,Petrol,8,3.95,733,0,0,Medium,City,1,255.91
Truck,Diesel,2,5.17,700,5369,2652,High,Mixed,1,197.68
Truck,Diesel,8,5.8,136,11182,5184,High,City,1,36.92
Truck,Petrol,3,4.9,243,4596,298,High,Highway,1,65.07
Van,Petrol,4,11.09,610,891,695,Low,City,1,74.61
Truck,Petrol,5,4.51,684,5043,4088,Medium,City,1,225.15
Bus,Petrol,9,3.85,968,1,0,Low,City,1,326.26
Bus,Diesel,9,4.19,311,1,1,High,Mixed,1,119.23
Bus,Diesel,2,4.61,111,0,0,High,Highway,1,29.87
Truck,Petrol,12,5.26,668,11924,1633,Medium,Mixed,0,165.64
Bus,Petrol,4,3.45,137,1,1,Low,City,0,53.64
Bus,Petrol,7,4.82,982,1,0,Medium,Highway,1,246.97
Bus,Petrol,5,4.68,24,1,0,Medium,Highway,0,7.87
Truck,Diesel,6,5.52,345,11502,9829,Medium,Highway,1,86.45
Van,Petrol,4,12.7,840,1305,105,High,City,0,93.39
Mini Truck,Diesel,7,9.62,467,3118,648,Low,Highway,0,56.46
Truck,Petrol,11,5.75,228,5605,2641,Low,Highway,0,48.56
Mini Truck,Diesel,11,9.08,652,1626,56,High,Mixed,0,101.3
Mini Truck,Diesel,12,8.94,666,2858,2598,Medium,Highway,0,100.08
Van,Petrol,4,12.21,818,1002,743,Medium,City,0,98.11
Bus,Diesel,3,4.25,133,0,0,Medium,Mixed,0,36.2
Truck,Diesel,5,3.79,99,5959,760,Medium,City,0,32.58
Mini Truck,Diesel,8,9.18,518,2694,301,High,Highway,0,75.72
Mini Truck,Petrol,6,8.53,204,2846,659,Medium,Highway,0,31.67
Truck,Diesel,6,5.98,634,10928,10059,High,Highway,0,154.93
Bus,Diesel,4,4.21,550,0,0,High,Highway,0,165.28
Bus,Diesel,4,3.06,245,0,0,Low,Mixed,0,90.39
Bus,Petrol,8,3.4,376,0,0,High,Mixed,1,159.17
Mini Truck,Petrol,7,8.05,276,2638,790,Low,Highway,1,41.16
Mini Truck,Diesel,10,9.17,189,3406,1276,Low,Mixed,1,27.08
Mini Truck,Petrol,7,8.39,657,2112,1305,Low,Mixed,1,102.8
Mini Truck,Diesel,10,7.41,85,3591,3356,Medium,Highway,0,15.62
Bus,Petrol,5,4.21,50,1,1,Low,Highway,1,14.3
Mini Truck,Diesel,6,6.98,400,1881,1345,Medium,Highway,1,76.38
Truck,Diesel,6,5.06,496,8388,3502,High,City,0,145.51
Truck,Petrol,5,4.81,125,11638,3562,High,City,0,38.22
Mini Truck,Petrol,6,9.25,70,1811,403,Medium,City,0,9.03
Bus,Petrol,2,3.25,635,0,0,Medium,Mixed,1,242.91
Van,Diesel,5,9.11,953,1679,9,Medium,City,0,136.31
Mini Truck,Diesel,9,9.67,680,1160,690,Low,Highway,1,89.37
Truck,Petrol,12,3.9,429,8196,5665,Low,Mixed,1,152.29
Mini Truck,Diesel,7,7.19,889,2861,2020,High,Highway,1,179.51
Truck,Diesel,4,3.14,127,3170,568,Medium,Mixed,1,51.48
Van,Diesel,2,10.15,25,1255,1100,High,Highway,1,4.69
Truck,Diesel,1,5.84,357,4229,2160,High,Mixed,1,87.58
Bus,Diesel,3,4.17,149,0,0,Medium,Highway,1,41.89
Mini Truck,Diesel,9,8.11,697,3367,1957,Medium,City,1,129.11
Mini Truck,Diesel,2,7.06,381,2213,339,High,Highway,0,67.24
Truck,Diesel,8,3.18,241,3215,2746,Medium,City,0,112.57
Mini Truck,Diesel,6,6.83,560,3418,3119,High,City,1,133.21
Mini Truck,Diesel,9,6.42,958,1532,448,Medium,City,1,214.55
Van,Petrol,4,9.41,722,1366,336,Medium,Mixed,0,97.39
Van,Petrol,2,13.47,935,992,16,Medium,Highway,1,79.5
Truck,Petrol,11,4.59,141,8766,4351,High,Highway,1,45.67
Mini Truck,Diesel,3,7.59,361,2764,2080,Low,City,1,64.92
Bus,Diesel,1,4.3,321,1,0,Low,City,0,87.26
Bus,Petrol,9,3.87,681,0,0,Low,Highway,0,192.07
Truck,Diesel,1,4.73,564,6911,539,Low,City,0,141.63
Mini Truck,Petrol,7,6.41,527,3833,1098,Low,Highway,0,92.36
Bus,Petrol,12,4.19,116,0,0,Low,Mixed,1,34.09
Bus,Diesel,3,3.63,190,0,0,Low,City,1,64.53
Van,Diesel,11,11.85,201,1184,42,Medium,Highway,0,21.28
Truck,Petrol,8,4.75,503,11000,4055,Low,Highway,0,121.45
Bus,Diesel,9,4.01,813,0,0,Low,Highway,1,231.18
Bus,Petrol,8,4.47,279,1,1,Medium,City,0,93.41
Bus,Petrol,12,3.67,296,1,0,High,Mixed,0,113.73
Van,Petrol,4,12.96,529,790,365,Low,Highway,1,46.2
Bus,Diesel,12,3.18,300,1,0,High,Mixed,1,140.78
Van,Petrol,11,11.09,623,1178,800,Medium,City,1,84.58
Van,Diesel,10,12.12,463,1203,251,Medium,Mixed,1,51.41
Bus,Diesel,1,4.0,497,0,0,High,Highway,1,158.18
Van,Petrol,8,10.73,484,1103,31,Low,Highway,1,52.27
Truck,Diesel,8,3.92,696,10050,5771,Low,Highway,1,218.63
Van,Petrol,5,13.71,807,1528,1362,High,Highway,0,85.7
Bus,Diesel,12,3.39,317,0,0,Low,Highway,1,108.6
Bus,Diesel,11,4.27,945,1,1,Low,City,1,330.09
Bus,Diesel,10,3.87,719,1,0,Low,City,0,231.23
Mini Truck,Diesel,5,7.22,578,2217,1888,Low,City,1,114.91
Truck,Diesel,9,4.33,977,8132,4127,High,Mixed,1,344.1
Mini Truck,Petrol,7,7.87,48,2680,1889,High,Highway,1,9.32
Truck,Diesel,10,5.72,544,6975,4754,Medium,Highway,1,131.31
Truck,Petrol,3,4.21,846,3097,1895,High,City,0,303.96
Truck,Diesel,5,5.49,628,4753,2731,Low,City,1,154.6
Bus,Diesel,2,4.48,738,0,0,Low,Mixed,0,181.05
Mini Truck,Diesel,4,9.58,178,3620,3490,Medium,Mixed,1,26.87
Truck,Petrol,10,5.06,20,4879,550,Low,Mixed,0,4.57
Truck,Diesel,4,3.31,474,3403,2071,Medium,Highway,0,180.09
Bus,Petrol,8,4.97,881,0,0,High,City,1,268.55
Truck,Petrol,3,4.91,858,6027,1160,High,Mixed,0,237.8
Van,Diesel,8,11.88,622,1092,204,Medium,City,1,72.37
Mini Truck,Petrol,12,9.2,853,2900,1707,Medium,Highway,0,122.83
Bus,Petrol,2,4.13,614,0,0,Medium,Highway,1,177.04
Truck,Petrol,3,4.4,29,10509,4536,Low,City,0,7.32
Bus,Petrol,9,3.13,380,0,0,High,Mixed,1,176.79
Mini Truck,Diesel,5,9.14,965,3696,1240,Medium,Highway,1,135.09
Mini Truck,Petrol,10,8.64,969,3359,2902,High,Mixed,1,179.4
Van,Petrol,10,14.73,652,1212,1197,Medium,Highway,0,61.67
Truck,Diesel,4,3.29,976,4740,4091,High,City,1,481.16
Van,Diesel,2,14.4,933,856,745,Medium,City,0,91.98
Truck,Petrol,2,3.11,801,4194,3617,Medium,Mixed,0,348.81
Van,Petrol,2,13.19,672,1273,272,High,Mixed,0,68.51
Van,Petrol,8,11.63,226,1085,461,High,Highway,1,26.5
Van,Diesel,10,9.15,228,1869,197,Low,Highway,0,27.1
Bus,Petrol,10,4.09,368,0,0,Low,Mixed,1,109.2
Van,Diesel,10,13.97,385,1525,721,High,Mixed,0,40.97
Truck,Petrol,7,4.88,150,4161,640,High,City,0,44.19
Truck,Petrol,4,3.15,43,11856,5421,Low,City,1,18.33
Mini Truck,Petrol,2,9.49,96,1646,589,High,Mixed,0,12.14
Bus,Petrol,10,3.11,616,0,0,Medium,City,0,267.79
Truck,Petrol,7,3.78,162,8481,973,Low,Mixed,1,53.31
Truck,Diesel,8,3.22,92,3579,1416,Medium,Mixed,0,35.64
Mini Truck,Diesel,5,8.89,528,1426,72,High,Highway,1,79.39
Mini Truck,Petrol,5,9.13,973,1932,43,Low,Highway,0,113.8
Mini Truck,Diesel,9,7.93,732,2585,1545,Low,City,1,127.56
Van,Diesel,8,9.71,380,1760,753,Low,City,1,55.11
Truck,Diesel,4,3.28,442,3164,930,High,Mixed,0,188.21
Truck,Diesel,1,3.23,204,5076,3592,Medium,Highway,1,80.46
Bus,Diesel,5,3.26,693,1,1,Low,Mixed,0,278.41
Truck,Petrol,9,3.62,474,8848,3609,High,City,1,208.0
Bus,Diesel,9,4.79,75,1,0,Medium,City,1,21.86
Bus,Diesel,4,4.82,332,0,0,High,Mixed,0,92.95
Truck,Petrol,12,5.45,260,5325,293,High,City,1,72.84
Truck,Diesel,8,5.51,622,7428,2277,Medium,City,0,156.57
Truck,Petrol,10,4.15,413,3308,1567,Medium,Highway,0,126.21
Van,Petrol,3,12.96,696,1590,107,Medium,Highway,1,63.89
Truck,Petrol,5,5.43,48,6547,6203,Medium,Mixed,1,11.74
Mini Truck,Diesel,2,8.21,714,3954,3819,Medium,Mixed,1,122.95
Mini Truck,Petrol,3,9.84,155,2914,975,Low,City,1,21.81
Truck,Diesel,9,3.89,650,9465,632,Medium,City,1,235.58
Bus,Diesel,2,3.61,887,1,1,Low,City,1,344.72
Truck,Petrol,1,4.4,673,8877,7867,High,Highway,1,218.87
Truck,Diesel,5,5.69,85,8145,7809,Medium,Highway,1,20.12
Bus,Petrol,8,3.25,170,0,0,High,Mixed,0,73.64
Van,Diesel,11,9.23,901,1901,1037,Medium,Mixed,1,140.56
Truck,Diesel,1,5.86,36,7244,2108,High,City,0,11.58
Van,Petrol,2,9.46,543,1408,231,Low,Highway,0,60.71
Bus,Petrol,11,3.83,166,1,1,Low,City,1,64.81
Bus,Petrol,11,3.75,184,1,0,Medium,Highway,1,61.45
Van,Diesel,2,12.65,752,1141,1046,High,Mixed,1,91.41
Van,Petrol,10,9.2,410,1987,307,High,Highway,0,59.88
Van,Petrol,9,13.4,641,1580,105,Medium,Mixed,1,64.57
Bus,Petrol,4,4.67,356,1,0,Low,City,0,91.86
Mini Truck,Petrol,12,9.89,475,3838,987,High,City,1,75.24
Truck,Petrol,9,4.52,639,8935,7932,Low,City,1,203.36
Van,Diesel,9,10.47,701,1334,1197,Low,Mixed,1,90.29
Bus,Petrol,6,3.24,537,1,1,Low,Mixed,1,227.67
Van,Diesel,8,9.09,289,747,428,High,Mixed,1,47.42
Truck,Diesel,1,5.5,190,3392,2826,Low,Highway,1,39.22
Mini Truck,Petrol,3,7.61,749,3281,988,Medium,Highway,1,121.94
Bus,Diesel,12,3.09,952,1,1,Medium,Mixed,1,474.37
Mini Truck,Petrol,8,8.8,804,1751,1482,High,Mixed,0,139.99
Van,Diesel,10,12.56,484,1880,1329,Medium,City,1,59.86
Van,Petrol,2,10.39,69,1510,698,High,Mixed,1,9.75
Bus,Petrol,7,3.64,996,0,0,Low,Highway,0,292.66
Mini Truck,Petrol,10,9.52,375,2287,407,Medium,Highway,0,49.63
Bus,Petrol,8,3.88,315,0,0,Medium,Mixed,0,101.95
Van,Petrol,3,9.58,792,1630,1041,Low,Highway,0,94.98
Van,Diesel,8,14.0,228,552,378,Medium,Mixed,1,23.73
Mini Truck,Diesel,8,7.18,961,1448,1446,Low,City,1,194.58
Mini Truck,Petrol,2,9.46,382,2140,477,Low,Mixed,0,47.23
Truck,Petrol,3,4.52,665,7523,3714,High,Mixed,0,208.54
Bus,Diesel,7,3.2,881,1,0,High,Mixed,0,376.27
Truck,Diesel,3,4.76,220,6607,5516,Medium,City,0,66.75
Mini Truck,Diesel,12,7.99,670,1539,406,Low,Mixed,0,103.53
Truck,Petrol,2,4.47,202,6416,5816,Low,City,1,62.54
Mini Truck,Diesel,11,7.39,997,3172,2690,Low,City,0,190.57
Bus,Petrol,8,4.59,576,1,1,Medium,City,0,190.79
Van,Diesel,5,11.52,273,1415,666,High,City,0,36.23
Van,Petrol,6,12.96,741,1211,815,Low,City,1,78.94
Mini Truck,Diesel,1,7.16,931,3078,881,Medium,Highway,1,158.51
Bus,Petrol,7,3.78,428,1,1,Medium,Highway,1,160.19
Mini Truck,Diesel,6,8.55,478,1186,631,Medium,Highway,0,70.87
Van,Diesel,10,12.66,572,764,619,Low,Mixed,0,59.92
Mini Truck,Diesel,12,7.33,84,2444,2264,High,Highway,0,15.69
Bus,Diesel,3,4.68,317,1,0,Low,City,1,82.04
Mini Truck,Diesel,9,8.93,885,1055,73,Low,Mixed,0,116.82
Mini Truck,Petrol,1,6.63,255,2234,99,High,Mixed,0,49.96
Truck,Petrol,12,3.37,154,9190,6565,High,City,0,73.74
Truck,Diesel,9,5.17,35,9805,330,High,Mixed,0,9.52
Truck,Petrol,4,5.49,351,8114,6428,Medium,Mixed,0,87.75
Bus,Petrol,8,3.41,405,1,1,Medium,City,0,179.26
Van,Petrol,9,10.67,270,1082,1037,Medium,Highway,1,36.33
Mini Truck,Petrol,9,8.86,611,2852,917,Low,City,0,89.58
Mini Truck,Petrol,8,8.25,360,3632,1272,Low,Mixed,0,51.0
Truck,Diesel,4,5.59,275,11025,9722,Low,Highway,1,60.3
Mini Truck,Diesel,1,9.07,338,2032,843,High,City,0,54.04
Truck,Petrol,12,4.7,294,9660,91,High,Highway,1,85.6
Mini Truck,Petrol,11,6.94,546,2889,1978,High,Mixed,0,121.35
Truck,Petrol,12,3.23,185,5085,111,High,Mixed,0,83.39
Van,Diesel,8,14.22,926,732,39,Medium,City,0,88.7
Mini Truck,Diesel,12,9.5,29,2712,1635,Medium,Highway,1,3.95
Bus,Petrol,9,3.64,164,1,0,Medium,Mixed,0,59.01
Bus,Petrol,8,3.93,188,1,0,High,Mixed,1,68.59
Truck,Petrol,7,3.54,25,10708,1098,Medium,Mixed,0,8.55
Van,Diesel,9,11.75,659,693,62,Medium,Mixed,0,71.4
Truck,Petrol,11,4.68,663,6703,2825,Low,Highway,1,174.72
Bus,Petrol,10,4.46,976,1,1,Medium,Mixed,0,319.03
Truck,Diesel,2,5.19,289,7587,1460,High,Highway,0,71.18
Mini Truck,Petrol,10,9.09,303,3425,2477,High,Mixed,1,52.87
Van,Diesel,1,13.7,971,943,93,High,Highway,0,88.44
Van,Petrol,1,10.94,543,606,140,Medium,City,1,67.61
Bus,Petrol,9,4.52,593,0,0,Medium,City,1,183.79
Mini Truck,Petrol,5,9.35,100,2298,2173,High,Highway,0,16.54
Bus,Diesel,7,4.12,721,1,1,Low,Mixed,1,239.72
Bus,Diesel,1,4.73,765,1,1,Medium,Highway,0,205.57
Mini Truck,Petrol,3,9.73,472,1043,401,Medium,Mixed,0,63.18
Truck,Petrol,6,3.28,534,9043,4157,Low,Mixed,1,205.57
Truck,Petrol,11,4.44,741,3719,2848,Medium,City,0,249.71
Truck,Petrol,10,4.9,504,11033,2847,High,Mixed,0,147.37
Truck,Petrol,1,4.84,911,5509,1449,Low,Highway,1,206.27
Truck,Diesel,8,4.91,119,4021,1287,High,City,0,37.19
Truck,Petrol,11,5.54,746,8185,7354,Low,Mixed,1,189.66
Truck,Petrol,7,5.51,217,4007,266,High,Highway,1,52.55
Truck,Diesel,8,3.13,537,6255,5641,Medium,Highway,0,227.19
Bus,Petrol,9,3.7,601,1,1,High,Highway,1,249.49
Truck,Diesel,2,3.55,345,4415,1520,High,Mixed,0,134.77
Van,Diesel,4,12.83,918,1442,166,High,Highway,1,93.44
Van,Diesel,5,9.32,202,1945,587,Medium,Highway,1,27.41
Mini Truck,Diesel,4,7.09,322,1816,362,Medium,Mixed,1,59.29
Bus,Diesel,8,3.71,810,1,1,High,Mixed,1,352.2
Van,Diesel,10,11.31,235,1601,1164,High,City,1,34.45
Bus,Diesel,6,4.4,545,1,0,Low,City,0,148.71
Mini Truck,Petrol,1,9.69,666,3117,2696,Low,City,0,91.86
Mini Truck,Petrol,6,8.26,942,3696,2410,Low,City,0,151.19
Bus,Diesel,3,3.84,683,1,1,Low,Highway,1,224.08
Bus,Diesel,8,4.09,469,0,0,High,City,1,170.88
Mini Truck,Petrol,4,7.01,365,2528,2461,Medium,Mixed,1,74.72
Bus,Diesel,4,4.53,451,0,0,Medium,City,1,132.35
Truck,Diesel,9,3.5,631,7924,7262,High,Mixed,0,280.13
Van,Diesel,11,11.0,336,610,92,Low,City,1,42.9
Mini Truck,Diesel,8,6.0,924,1604,410,Low,City,1,202.56
Truck,Diesel,4,5.57,761,10152,1477,Low,Highway,1,150.56
Truck,Petrol,3,4.03,723,10713,9008,Medium,Mixed,0,246.0
Mini Truck,Petrol,8,8.82,151,1392,793,Medium,Highway,1,22.56
Bus,Petrol,11,4.46,566,1,1,Low,City,1,188.29
Truck,Diesel,10,3.53,390,6852,3023,Medium,Mixed,0,151.44
Mini Truck,Diesel,11,6.92,65,3047,769,Low,City,1,12.0
Truck,Petrol,7,4.96,311,9974,2469,Medium,City,1,90.89
Truck,Petrol,7,3.54,874,9524,8476,Low,City,0,341.57
Bus,Diesel,11,4.72,184,0,0,Medium,Highway,1,48.53
Mini Truck,Diesel,8,8.62,452,3745,1645,Low,City,1,73.85
Bus,Diesel,10,4.61,819,1,1,Medium,Mixed,1,267.54
Bus,Diesel,3,4.96,173,1,0,Low,City,1,43.79
Van,Petrol,7,9.29,144,1076,81,Medium,City,1,21.8
Truck,Petrol,5,4.28,858,7852,6281,Low,Mixed,1,266.98
Van,Petrol,6,11.5,324,1414,664,High,Highway,0,40.32
Bus,Diesel,9,4.48,199,0,0,Low,Mixed,0,52.01
Van,Diesel,11,11.96,489,1062,707,High,Mixed,0,61.64
Mini Truck,Diesel,2,7.31,643,1156,300,High,Mixed,0,120.77
Mini Truck,Diesel,6,9.71,430,2236,1730,Low,Highway,1,54.51
Truck,Petrol,2,5.38,650,7275,2483,High,Mixed,0,169.32
Truck,Petrol,10,4.42,784,10158,4502,High,Highway,1,257.32
Truck,Petrol,3,5.03,436,7467,41,Low,Highway,1,93.26
Van,Petrol,5,11.77,119,1800,651,Low,Highway,0,11.5
Bus,Diesel,2,4.22,670,1,1,High,City,1,255.59
Mini Truck,Diesel,6,7.36,175,2418,1820,Medium,Mixed,1,32.73
Van,Diesel,11,11.34,696,1325,66,High,Highway,1,86.69
Bus,Diesel,4,4.5,318,1,1,Medium,City,1,106.63
Truck,Diesel,10,4.75,445,8761,7070,Low,City,1,134.14
Van,Petrol,9,9.79,146,1743,1740,Low,City,0,21.82
Van,Diesel,10,10.74,816,825,785,High,City,1,129.92
Bus,Diesel,7,4.8,808,1,1,Medium,Mixed,0,241.58
Bus,Petrol,4,4.72,313,1,1,Medium,Highway,0,88.73
Mini Truck,Petrol,1,8.13,691,2368,1900,Low,Mixed,0,104.01
Mini Truck,Petrol,7,7.64,653,3606,118,Low,Highway,0,90.25
Mini Truck,Diesel,6,8.44,660,1681,1165,Medium,Mixed,0,108.52
Bus,Diesel,12,4.2,890,1,0,Low,City,1,279.33
Van,Diesel,8,14.62,155,909,330,Medium,Highway,0,12.9
Van,Petrol,8,10.47,267,1735,908,Low,City,0,35.36
Bus,Diesel,4,3.92,27,0,0,High,Highway,1,9.69
Mini Truck,Petrol,2,9.13,752,2065,495,High,Mixed,0,112.82
Mini Truck,Petrol,12,6.24,392,2631,163,Medium,Mixed,1,88.11
