Vehicle_ID,Vehicle_Type,Age_Years,Odometer_km,Trips_Completed,Fuel_Efficiency_kmpl,Maintenance_Count,Average_Load_Percent,Average_Trip_Distance_km,Engine_Temperature,Tire_Health,Breakdown
VH1392,Van,11,406126,1561,11.88,14,35,596,107.0,30,1
VH1393,Bus,6,232841,696,2.02,7,63,247,94.5,58,1
VH1394,Van,8,258073,2242,10.78,9,94,174,98.6,44,1
VH1395,Mini Truck,1,35819,133,6.48,0,40,138,91.1,93,0
VH1396,Van,6,201760,1182,10.73,7,56,553,97.0,59,0
VH1397,Bus,6,244823,679,2.88,7,87,346,92.8,62,0
VH1398,Truck,5,111713,635,2.56,4,73,131,93.6,62,0
VH1399,Van,12,367880,3073,9.05,17,50,358,98.2,30,1
VH1400,Bus,8,220779,2299,3.26,10,53,462,98.7,39,1
VH1401,Bus,1,44162,181,2.9,1,84,418,86.7,92,0
VH1402,Truck,12,352615,1802,3.2,15,38,124,111.8,30,1
VH1403,Van,6,205454,883,10.75,6,63,521,93.6,70,0
VH1404,Mini Truck,10,403758,3303,6.96,12,44,376,106.6,34,1
VH1405,Mini Truck,8,321837,1346,9.07,10,68,106,99.3,48,1
VH1406,Van,6,150896,968,9.83,6,53,402,93.2,55,0
VH1407,Van,9,383666,2433,11.58,11,79,453,95.9,30,1
VH1408,Van,8,326592,1349,11.33,11,92,315,93.9,39,1
VH1409,Van,3,101232,701,11.72,2,75,29,90.8,85,0
VH1410,Bus,3,85575,633,3.93,1,94,526,91.0,89,0
VH1411,Bus,11,477805,2582,3.42,14,86,520,108.2,30,1
VH1412,Van,2,77053,191,12.78,1,58,319,87.8,90,0
VH1413,Truck,5,158941,1501,3.22,6,88,599,94.7,58,0
VH1414,Bus,9,447809,1183,3.15,13,64,576,92.8,30,1
VH1415,Mini Truck,9,201815,2527,7.73,9,84,124,95.6,43,1
VH1416,Van,5,108449,1321,9.58,6,41,469,94.9,57,0
VH1417,Truck,4,107509,1038,4.65,4,84,189,95.9,72,0
VH1418,Van,4,186630,743,12.83,8,74,565,92.6,64,0
VH1419,Mini Truck,10,482469,1489,6.62,14,67,316,100.5,30,1
VH1420,Mini Truck,9,229925,1275,9.81,11,82,80,102.3,30,1
VH1421,Mini Truck,11,286525,3753,9.33,11,61,169,94.2,30,1
VH1422,Mini Truck,4,179807,1124,7.45,4,64,444,82.4,73,0
VH1423,Bus,8,179796,1021,2.81,11,65,397,97.0,42,1
VH1424,Bus,8,245796,650,3.74,9,41,489,96.6,46,1
VH1425,Mini Truck,2,92145,567,6.09,2,84,236,89.1,87,0
VH1426,Bus,5,184637,980,2.68,5,46,599,96.5,64,0
VH1427,Bus,6,298926,2041,2.1,8,42,490,96.1,49,1
VH1428,Truck,2,96207,321,3.6,3,30,458,88.0,89,0
VH1429,Van,12,309160,3622,9.81,14,65,115,102.9,30,1
VH1430,Mini Truck,5,121606,1161,8.32,7,51,73,94.7,61,0
VH1431,Bus,11,380174,3744,3.51,12,84,113,97.2,30,1
VH1432,Truck,1,26993,324,2.69,0,58,551,85.8,95,0
VH1433,Bus,1,20264,255,3.63,1,84,155,86.2,95,0
VH1434,Bus,2,55004,552,2.18,2,43,125,80.1,81,0
VH1435,Mini Truck,6,198447,760,6.91,7,47,166,89.2,58,0
VH1436,Truck,9,184443,1392,3.6,8,57,175,100.2,35,1
VH1437,Bus,10,431936,1689,2.17,14,42,163,97.7,30,1
VH1438,Truck,10,401343,2239,4.91,13,70,163,97.2,30,1
VH1439,Van,5,122085,908,11.32,5,66,47,92.6,61,0
VH1440,Mini Truck,4,147862,1363,5.94,3,80,322,94.6,76,0
VH1441,Truck,4,144865,1110,2.78,7,93,92,86.8,64,1
VH1442,Truck,6,202961,750,3.47,6,83,394,93.1,52,0
VH1443,Van,8,361947,938,8.1,9,38,34,99.2,45,1
VH1444,Mini Truck,4,85220,443,9.74,3,80,538,80.6,71,0
VH1445,Mini Truck,11,482693,2581,7.12,16,81,104,95.6,30,1
VH1446,Van,5,121914,1034,8.47,5,56,179,94.8,65,0
VH1447,Mini Truck,7,293730,1859,8.82,8,38,337,100.3,48,1
VH1448,Bus,12,365114,1197,2.49,14,85,138,99.3,30,1
VH1449,Bus,10,228850,2066,3.33,10,52,142,99.3,38,1
VH1450,Truck,12,311938,3833,2.53,12,93,375,96.5,30,1
VH1451,Mini Truck,3,108741,369,8.75,3,64,140,86.8,84,0
VH1452,Truck,6,232544,1037,3.81,7,63,98,101.3,59,0
VH1453,Bus,8,293898,2115,2.11,10,51,396,96.6,44,1
VH1454,Van,5,126975,1575,12.04,7,44,253,97.4,62,0
VH1455,Truck,1,48137,86,3.11,2,90,392,86.6,87,0
VH1456,Bus,3,83456,276,3.11,4,83,249,86.8,87,0
VH1457,Mini Truck,4,134559,975,6.36,5,39,401,89.5,70,0
VH1458,Truck,9,207615,1454,3.06,8,96,67,94.6,45,1
VH1459,Bus,2,97474,636,3.73,2,69,355,83.8,88,0
VH1460,Truck,9,419466,752,3.42,14,67,597,101.4,31,1
VH1461,Mini Truck,12,566483,1953,7.32,16,93,220,97.3,30,1
VH1462,Van,3,60835,659,8.14,2,99,374,88.5,87,0
VH1463,Truck,6,120383,2034,4.14,7,69,126,95.8,66,0
VH1464,Van,9,304868,2439,10.95,13,37,165,105.7,32,1
VH1465,Mini Truck,2,42877,397,9.49,2,96,442,84.6,87,0
VH1466,Mini Truck,8,356057,987,7.9,12,94,156,96.2,33,1
VH1467,Bus,2,78790,223,2.87,1,46,262,81.0,78,0
VH1468,Mini Truck,5,182577,1204,8.5,7,71,345,93.1,58,0
VH1469,Bus,5,161239,552,3.89,5,47,131,93.7,69,0
VH1470,Van,2,50772,620,10.8,3,82,143,85.7,83,0
VH1471,Mini Truck,4,139233,951,7.32,5,45,112,90.0,78,0
VH1472,Van,11,379496,3766,12.18,14,35,240,104.4,30,1
VH1473,Mini Truck,3,71955,968,6.24,4,75,425,90.2,70,0
VH1474,Truck,11,376678,1945,4.55,14,52,51,98.9,30,1
VH1475,Bus,8,305739,1663,2.19,11,43,163,102.0,38,1
VH1476,Truck,1,22020,193,2.83,1,81,401,93.3,94,0
VH1477,Truck,10,335696,1107,2.55,15,38,222,102.3,30,1
VH1478,Bus,3,72055,579,2.25,4,89,71,91.0,83,0
VH1479,Van,10,427098,2417,10.98,14,78,456,99.4,30,1
VH1480,Van,6,176286,863,9.65,7,87,172,90.6,53,0
VH1481,Truck,10,328862,3451,3.24,13,82,583,102.9,31,1
VH1482,Bus,1,22874,223,2.77,0,83,224,82.1,96,0
VH1483,Van,11,505032,959,13.94,17,75,511,95.7,30,1
VH1484,Bus,6,268282,1508,2.64,8,64,204,90.7,49,1
VH1485,Truck,6,276530,928,2.57,6,65,79,96.4,59,1
VH1486,Bus,9,367397,3112,4.0,10,50,122,104.3,43,1
VH1487,Van,11,346433,1971,11.2,12,37,244,106.2,30,1
VH1488,Bus,6,165537,840,2.47,7,70,387,90.7,67,0
VH1489,Truck,12,424382,3285,3.91,15,54,524,103.5,30,1
VH1490,Mini Truck,3,124282,278,5.45,6,59,244,97.0,81,0
VH1491,Truck,9,430603,722,3.33,14,55,153,96.0,31,1
VH1492,Mini Truck,12,333040,2285,5.3,14,48,165,108.2,30,1
VH1493,Truck,9,371307,1017,3.43,11,80,123,102.3,36,1
VH1494,Mini Truck,5,184568,679,9.88,3,85,518,95.7,66,0
VH1495,Mini Truck,3,133659,950,9.45,3,75,248,86.1,78,0
VH1496,Van,7,220431,2063,12.13,9,46,201,90.0,47,0
VH1497,Truck,12,540330,2563,4.63,17,34,206,107.9,30,1
VH1498,Mini Truck,10,315812,3419,7.83,12,93,164,96.2,30,1
VH1499,Mini Truck,12,280793,1934,6.73,14,70,191,110.5,30,1
VH1500,Truck,12,591285,3577,4.32,17,72,477,98.5,30,1
VH1501,Truck,5,154967,911,4.23,4,74,282,93.8,66,0
VH1502,Truck,12,240671,1157,3.46,12,83,190,96.6,30,1
VH1503,Bus,8,391150,2191,2.7,11,78,123,92.3,30,1
VH1504,Bus,10,318270,1466,2.9,12,34,321,107.1,34,1
VH1505,Truck,6,188453,694,2.69,7,51,404,91.6,58,0
VH1506,Van,12,279322,3200,13.65,13,41,366,100.7,30,1
VH1507,Bus,12,256249,2726,3.88,13,51,464,99.1,30,1
VH1508,Van,1,23318,249,9.23,1,54,439,85.6,88,0
VH1509,Mini Truck,11,367599,2098,6.19,13,36,422,100.3,30,1
VH1510,Bus,3,67144,609,2.01,2,41,321,89.4,81,0
VH1511,Bus,4,92712,372,2.41,3,67,103,83.9,68,0
VH1512,Bus,2,60208,567,2.94,2,63,113,88.3,89,0
VH1513,Bus,3,108630,630,2.74,4,87,65,89.1,73,0
VH1514,Mini Truck,8,281912,1718,6.13,11,64,597,93.3,32,1
VH1515,Truck,3,147486,339,2.71,5,74,574,84.2,87,0
VH1516,Bus,10,319282,3067,2.12,12,79,555,101.4,30,1
VH1517,Bus,9,428944,3065,3.76,13,90,326,96.8,30,1
VH1518,Truck,7,327250,631,3.76,10,96,170,93.7,50,1
VH1519,Truck,8,205319,1324,4.93,11,54,149,95.8,38,1
VH1520,Truck,7,160543,1959,3.59,8,48,284,102.7,48,1
VH1521,Mini Truck,12,275133,1316,6.94,12,80,585,104.7,30,1
VH1522,Mini Truck,5,236233,1338,9.59,5,31,555,88.5,68,0
VH1523,Bus,2,67160,313,2.3,4,42,128,88.1,78,0
VH1524,Truck,5,240413,1104,4.69,7,63,412,98.0,57,0
VH1525,Bus,10,448012,953,2.34,13,81,167,104.6,30,1
VH1526,Bus,1,32969,249,3.38,0,36,506,86.9,93,0
VH1527,Mini Truck,6,125303,1171,9.09,7,68,338,95.3,55,1
VH1528,Mini Truck,8,384981,1042,9.86,12,59,157,96.7,35,1
VH1529,Mini Truck,12,472317,4130,9.13,19,64,446,104.2,30,1
VH1530,Truck,4,137896,752,4.78,4,82,516,95.6,72,0
VH1531,Mini Truck,1,36884,161,5.33,0,94,433,90.2,91,0
VH1532,Van,9,195177,1431,9.16,11,55,79,102.8,30,1
VH1533,Van,1,34956,105,13.51,2,55,300,86.8,95,0
VH1534,Mini Truck,8,292415,2265,8.18,11,45,51,93.6,34,1
VH1535,Van,6,248132,1696,10.68,9,90,584,92.7,49,0
VH1536,Mini Truck,6,162864,1009,8.74,7,41,311,97.0,55,1
VH1537,Truck,7,153015,893,4.63,6,57,246,95.6,60,0
VH1538,Van,11,328386,1982,11.91,13,95,40,103.3,30,1
VH1539,Truck,8,398948,1181,4.12,12,31,249,96.3,40,1
VH1540,Mini Truck,10,360148,3432,6.38,14,78,377,110.4,30,1
VH1541,Bus,5,157202,1355,2.6,6,96,426,93.3,61,0
VH1542,Truck,1,36761,271,3.9,1,66,325,85.3,93,0
VH1543,Truck,8,176734,2017,4.97,10,71,303,93.0,45,1
VH1544,Mini Truck,11,376652,1651,5.75,14,60,78,106.7,30,1
VH1545,Bus,11,387554,3668,2.28,12,33,529,99.5,30,1
VH1546,Mini Truck,5,209724,1228,6.94,7,34,214,89.1,58,0
VH1547,Mini Truck,12,356582,3771,7.67,14,90,387,109.5,30,1
VH1548,Mini Truck,3,146194,811,5.91,5,42,502,95.6,79,0
VH1549,Van,12,375608,3930,12.85,14,53,363,104.6,30,1
VH1550,Truck,4,126567,777,4.36,4,69,450,92.3,66,0
VH1551,Mini Truck,6,188304,1679,6.47,8,45,501,92.1,55,0
VH1552,Truck,11,525961,3256,4.86,15,39,503,103.6,30,1
VH1553,Van,9,242818,2283,11.18,11,82,75,104.0,38,1
VH1554,Van,3,86253,590,10.46,1,88,166,90.0,88,0
VH1555,Mini Truck,12,334558,4150,5.4,13,72,201,105.9,30,1
VH1556,Mini Truck,11,250415,899,7.26,11,56,192,104.8,30,1
VH1557,Van,8,365838,1000,8.78,12,85,459,93.1,36,1
VH1558,Bus,7,265147,1345,2.01,7,98,224,86.4,51,1
VH1559,Mini Truck,1,49229,244,8.78,2,97,215,87.5,90,0
VH1560,Truck,11,222162,3446,4.33,11,58,372,97.7,30,1
VH1561,Mini Truck,3,73462,632,7.52,3,69,191,87.8,82,0
VH1562,Truck,1,29771,228,3.64,1,96,556,87.8,97,0
VH1563,Mini Truck,7,320035,834,6.71,9,92,387,98.1,45,1
VH1564,Van,3,112873,259,9.37,4,46,236,86.9,72,0
VH1565,Truck,10,464573,1492,2.81,14,34,404,92.5,30,1
VH1566,Mini Truck,9,205473,916,8.31,8,32,69,101.6,44,1
VH1567,Truck,7,256474,1338,2.81,8,62,505,97.2,53,1
VH1568,Van,4,171120,339,9.81,6,42,552,91.9,71,0
VH1569,Mini Truck,10,271913,2515,9.15,11,43,543,100.3,30,1
VH1570,Truck,5,129887,617,3.74,5,55,289,92.6,66,0
VH1571,Van,6,227415,1084,8.96,9,100,528,95.1,55,1
VH1572,Van,12,492006,2314,9.41,17,31,111,113.8,30,1
VH1573,Truck,10,459052,1410,4.87,13,95,96,105.9,30,1
VH1574,Truck,5,160597,1335,4.97,7,67,290,93.4,71,0
VH1575,Bus,1,23270,169,3.75,0,67,388,91.4,100,0
VH1576,Mini Truck,7,333603,797,5.47,9,35,29,98.6,42,1
VH1577,Van,11,309397,2226,10.15,13,86,294,100.5,30,1
VH1578,Truck,6,209842,854,2.78,8,81,487,94.6,61,0
VH1579,Mini Truck,7,320853,2302,7.39,10,83,190,104.7,45,1
VH1580,Truck,3,67686,403,2.76,3,91,468,88.8,76,0
VH1581,Van,10,399098,2268,11.67,11,46,514,99.1,30,1
VH1582,Bus,2,98169,581,2.88,3,38,287,83.0,79,0
VH1583,Mini Truck,1,43087,348,8.84,0,58,366,85.7,95,0
VH1584,Truck,7,313464,2048,3.12,11,74,414,93.2,45,1
VH1585,Van,9,208608,767,11.86,12,50,537,100.0,30,1
VH1586,Bus,8,387912,1317,2.15,11,92,348,96.2,33,1
VH1587,Van,6,192917,583,11.04,7,100,407,94.4,45,1
VH1588,Bus,4,90332,1260,2.89,6,87,110,90.8,64,0
VH1589,Bus,8,242853,1126,3.96,8,32,125,89.8,36,1
VH1590,Bus,7,149393,1701,3.1,8,41,331,101.6,53,1
VH1591,Van,11,459184,2276,10.18,14,36,248,99.6,30,1
VH1592,Bus,6,266840,2051,3.24,10,90,392,97.6,48,1
VH1593,Bus,2,46385,387,2.0,1,75,318,79.4,84,0
VH1594,Mini Truck,12,295743,1147,9.48,13,93,163,99.1,30,1
VH1595,Bus,2,56665,360,2.38,2,80,240,87.1,82,0
VH1596,Bus,4,173950,1012,2.22,5,83,67,92.8,64,0
VH1597,Truck,8,279901,2705,2.84,11,93,24,96.6,38,1
VH1598,Truck,9,406917,3116,3.71,13,95,201,99.4,33,1
VH1599,Van,12,307309,1384,10.32,14,71,536,100.6,30,1
VH1600,Bus,7,299644,2435,3.39,8,61,300,95.9,48,1
VH1601,Bus,6,197115,1407,3.61,7,47,442,93.5,46,0
VH1602,Mini Truck,12,527208,2245,8.56,15,100,242,105.9,30,1
VH1603,Van,4,161810,915,12.12,6,46,202,92.9,72,0
VH1604,Mini Truck,12,300505,4076,6.76,15,91,447,100.0,30,1
VH1605,Mini Truck,7,143347,1630,5.53,6,78,168,94.4,60,0
VH1606,Truck,11,249677,1698,3.17,12,50,313,103.5,30,1
VH1607,Mini Truck,3,68130,947,8.92,2,56,574,82.2,86,0
VH1608,Truck,6,238644,689,4.04,9,58,594,97.1,47,0
VH1609,Bus,4,146967,909,3.39,6,36,410,86.6,66,0
VH1610,Bus,7,346598,1963,2.63,10,100,75,98.6,51,1
VH1611,Truck,12,371775,1791,4.05,16,86,250,100.8,30,1
VH1612,Mini Truck,10,486583,3271,5.98,13,54,321,96.8,30,1
VH1613,Bus,3,149477,316,2.37,6,52,546,84.6,70,0
VH1614,Truck,7,150652,1437,3.2,7,63,153,96.6,46,1
VH1615,Van,10,333701,823,9.98,13,49,60,100.0,30,1
VH1616,Van,6,276468,584,12.64,8,68,522,95.6,48,1
VH1617,Mini Truck,2,91382,485,7.63,2,53,553,80.8,84,0
VH1618,Truck,9,263556,2423,3.86,10,81,114,99.4,36,1
VH1619,Mini Truck,4,195788,756,8.32,6,72,389,84.8,60,0
VH1620,Mini Truck,4,178652,1292,9.98,6,31,137,82.8,68,0
VH1621,Mini Truck,8,223005,1638,9.79,8,71,410,103.3,45,1
VH1622,Truck,7,207263,1666,4.31,8,33,549,100.4,43,0
VH1623,Mini Truck,9,446723,2545,7.43,12,67,217,97.8,30,1
VH1624,Mini Truck,9,223172,1113,5.84,8,98,566,101.5,33,1
VH1625,Truck,11,254326,1743,4.18,12,57,454,109.8,30,1
VH1626,Truck,4,150484,1211,4.12,2,39,177,89.9,81,0
VH1627,Truck,8,347922,1998,2.59,13,39,75,92.1,36,1
VH1628,Van,5,246298,544,11.45,7,59,284,92.1,74,0
VH1629,Bus,7,258259,1850,2.81,7,70,37,96.5,53,1
VH1630,Bus,11,282026,3070,2.01,13,38,66,101.9,30,1
VH1631,Truck,6,251815,697,3.22,8,68,108,95.1,52,1
VH1632,Mini Truck,8,259985,2258,9.11,10,33,505,95.5,41,1
VH1633,Van,9,295272,1278,12.48,11,99,322,103.0,32,1
VH1634,Van,5,197813,422,11.32,5,48,146,97.5,60,0
VH1635,Truck,1,38766,281,3.84,0,40,332,84.1,100,0
VH1636,Van,12,420277,1827,10.48,13,95,165,115.6,30,1
VH1637,Van,3,88939,871,13.01,3,54,137,89.3,80,0
VH1638,Van,11,517424,1102,13.11,16,100,492,104.1,30,1
VH1639,Truck,5,117658,913,2.75,5,92,358,91.7,64,0
VH1640,Mini Truck,3,147988,911,6.17,4,66,91,94.0,79,0
VH1641,Van,6,247365,1402,9.97,5,69,176,96.6,60,0
VH1642,Mini Truck,6,232278,825,5.02,8,61,246,92.4,59,0
VH1643,Bus,5,194237,675,3.36,7,72,511,90.9,57,0
VH1644,Bus,8,254041,1891,2.97,9,43,199,100.4,46,1
VH1645,Truck,5,136700,1503,2.99,6,39,97,95.4,65,0
VH1646,Truck,9,196354,3103,3.95,9,57,57,100.2,41,1
VH1647,Mini Truck,9,427518,1328,6.83,14,58,317,103.3,30,1
VH1648,Van,8,291366,2730,8.54,10,76,534,101.3,39,1
VH1649,Truck,11,345242,3395,4.21,12,95,163,100.8,30,1
VH1650,Bus,3,83480,819,3.9,2,48,515,88.9,77,0
VH1651,Mini Truck,1,27170,329,6.16,0,63,398,78.9,96,0
VH1652,Van,1,41908,185,11.11,1,76,417,83.2,96,0
VH1653,Bus,8,391093,830,2.08,12,71,125,90.6,32,1
VH1654,Mini Truck,12,378053,3330,7.72,14,52,405,99.2,30,1
VH1655,Bus,6,274056,1818,3.8,8,39,549,92.9,43,1
VH1656,Mini Truck,7,198431,1617,7.03,9,74,518,90.5,47,0
VH1657,Bus,10,203459,2855,3.76,11,86,189,96.6,30,1
VH1658,Van,2,73720,447,9.27,2,53,181,92.0,96,0
VH1659,Mini Truck,10,262039,1743,7.07,10,72,136,97.4,30,1
VH1660,Bus,11,471036,2842,2.42,14,50,440,104.6,30,1
VH1661,Truck,4,85655,581,3.93,4,50,157,91.9,78,0
VH1662,Truck,10,276999,1029,2.92,10,53,549,100.3,30,1
VH1663,Bus,10,495491,3411,2.04,15,66,107,92.7,30,1
VH1664,Van,8,318997,2570,13.2,11,51,244,93.2,34,1
VH1665,Bus,10,274822,3186,3.64,11,53,543,103.8,30,1
VH1666,Mini Truck,3,149861,590,9.61,3,38,255,94.0,77,0
VH1667,Bus,7,174658,782,2.03,7,96,536,98.4,48,1
VH1668,Bus,3,139365,338,2.35,5,34,564,86.8,74,0
VH1669,Truck,2,71604,293,4.75,3,99,21,87.1,87,0
VH1670,Bus,9,400559,2237,3.75,12,97,459,106.4,38,1
VH1671,Van,8,366977,2201,10.1,10,42,455,99.1,35,1
VH1672,Van,5,225079,876,13.46,7,40,310,92.8,55,0
VH1673,Bus,5,149550,411,3.42,7,30,555,95.0,67,0
VH1674,Truck,9,183771,2256,4.14,9,70,438,96.7,37,1
VH1675,Mini Truck,2,50143,596,8.26,2,62,287,82.2,74,0
VH1676,Bus,10,391702,3306,2.55,13,80,228,95.1,30,1
VH1677,Bus,9,432952,1452,2.74,13,91,279,96.7,36,1
VH1678,Mini Truck,10,380541,2430,8.68,13,45,255,101.2,30,1
VH1679,Bus,12,324827,1370,2.43,13,81,366,107.2,30,1
VH1680,Truck,3,111000,891,2.51,4,41,168,85.2,69,0
VH1681,Bus,10,428263,1161,2.13,14,58,399,101.5,30,1
VH1682,Truck,10,219794,2374,4.83,10,81,553,104.5,30,1
VH1683,Mini Truck,12,553247,1195,9.73,19,52,526,99.4,30,1
VH1684,Bus,1,26609,345,2.57,0,34,542,88.9,92,0
VH1685,Van,10,288857,947,10.16,11,30,181,100.2,30,1
VH1686,Truck,5,204709,1123,4.17,7,81,225,90.4,59,0
VH1687,Truck,12,275975,1329,3.87,12,74,375,106.1,30,1
VH1688,Mini Truck,4,159477,718,7.27,5,81,24,91.1,72,0
VH1689,Mini Truck,3,113363,758,5.53,3,39,535,97.6,80,0
VH1690,Mini Truck,6,150673,1531,9.78,8,98,276,91.1,54,1
VH1691,Bus,7,287631,1550,3.54,11,73,489,98.2,45,1
VH1692,Bus,10,214339,2774,2.23,10,38,411,97.7,30,1
VH1693,Van,11,340549,2173,10.47,15,75,548,96.5,30,1
VH1694,Truck,12,378071,1976,3.22,15,81,370,103.2,30,1
VH1695,Truck,9,273577,2671,3.28,11,57,295,97.6,40,1
VH1696,Van,12,598144,1738,10.99,16,55,260,99.7,30,1
VH1697,Van,5,154205,869,9.22,4,61,384,91.8,75,0
VH1698,Van,2,47856,240,12.05,2,93,26,88.9,79,0
VH1699,Truck,8,257306,1931,3.73,9,65,522,95.5,40,1
VH1700,Van,9,326940,2349,9.33,13,46,75,100.7,30,1
VH1701,Bus,8,301759,773,3.0,10,80,198,99.0,45,1
VH1702,Bus,2,85760,690,2.92,4,31,32,83.9,77,0
VH1703,Van,7,292307,766,9.95,8,63,211,94.6,51,1
VH1704,Mini Truck,4,115311,1285,9.79,5,73,394,90.7,68,0
VH1705,Van,8,271134,1502,10.51,10,77,393,93.7,50,1
VH1706,Bus,5,218155,768,3.14,5,59,122,93.2,75,0
VH1707,Mini Truck,4,152789,1205,9.28,5,55,169,90.2,68,0
VH1708,Van,8,371201,679,9.06,11,93,157,102.5,30,1
VH1709,Mini Truck,8,238652,1667,7.81,11,36,427,91.3,36,0
VH1710,Truck,12,325638,1205,3.04,14,62,507,104.5,30,1
VH1711,Truck,8,355190,2010,3.15,11,76,593,95.3,30,1
VH1712,Mini Truck,6,125199,1323,5.61,5,55,571,94.6,60,0
VH1713,Van,5,193089,1065,12.04,6,92,477,94.7,60,0
VH1714,Truck,7,300868,1146,3.66,9,48,191,97.8,46,1
VH1715,Mini Truck,7,305484,1814,7.86,8,39,101,91.7,53,1
VH1716,Van,6,179825,1122,9.9,8,67,293,98.7,55,1
VH1717,Bus,5,216627,1143,3.5,5,96,481,91.2,64,0
VH1718,Bus,3,84102,263,2.25,2,60,277,91.9,85,0
VH1719,Truck,4,101877,1133,2.76,4,38,504,89.1,73,0
VH1720,Truck,1,45261,283,3.81,1,40,126,86.2,100,0
VH1721,Mini Truck,10,281408,1145,8.27,11,79,336,98.6,30,1
VH1722,Van,4,176677,901,10.66,6,46,154,90.3,64,0
VH1723,Van,1,21151,262,13.16,2,71,507,92.2,87,0
VH1724,Bus,9,322823,2966,2.89,9,99,201,102.5,33,1
VH1725,Bus,11,515690,2661,3.05,16,98,337,93.6,30,1
VH1726,Mini Truck,8,301470,1570,9.02,9,86,335,99.9,42,1
VH1727,Mini Truck,7,208106,878,6.52,7,30,555,93.9,54,1
VH1728,Van,6,195173,1440,11.21,6,92,508,101.9,60,1
VH1729,Mini Truck,1,45096,300,8.99,4,59,27,82.9,80,0
VH1730,Mini Truck,4,133967,1215,6.97,4,50,419,94.7,71,0
VH1731,Bus,4,114469,482,2.84,6,60,549,85.2,67,0
VH1732,Mini Truck,5,239445,950,7.06,6,38,206,94.0,67,0
VH1733,Van,5,128929,1704,10.73,5,87,298,82.1,65,0
VH1734,Bus,4,122027,359,2.3,5,98,42,92.6,76,0
VH1735,Van,2,58488,435,8.75,1,86,28,90.7,93,0
VH1736,Van,2,49875,175,10.96,0,73,450,89.3,87,0
VH1737,Mini Truck,8,257359,2539,8.48,9,34,358,98.4,39,1
VH1738,Truck,3,67345,512,4.44,2,39,576,89.6,75,0
VH1739,Bus,3,85191,496,3.63,2,31,144,92.2,75,0
VH1740,Van,7,342172,1467,9.48,11,34,223,97.4,34,1
VH1741,Bus,12,289262,3094,3.33,13,56,504,107.8,30,1
VH1742,Bus,11,383635,2203,2.32,13,35,582,103.3,30,1
VH1743,Truck,5,226151,1707,3.25,6,76,73,90.1,70,0
VH1744,Van,2,55464,604,9.95,4,51,302,91.9,82,0
VH1745,Truck,7,346869,1057,2.52,9,35,506,92.2,49,1
VH1746,Van,6,143456,989,8.95,7,41,366,99.6,59,0
VH1747,Truck,1,31649,158,4.25,0,43,148,90.4,99,0
VH1748,Bus,4,121515,1031,3.61,4,86,217,87.2,60,0
VH1749,Truck,12,438059,2427,4.31,16,62,60,107.3,30,1
VH1750,Bus,12,469376,3249,2.59,17,92,214,102.7,30,1
VH1751,Van,9,362276,2045,12.39,13,65,587,96.8,32,1
VH1752,Van,2,74808,318,10.7,2,63,574,90.2,79,0
VH1753,Mini Truck,8,160188,2712,6.9,7,53,39,101.2,50,1
VH1754,Mini Truck,10,325192,2113,8.61,13,98,416,100.4,30,1
VH1755,Van,9,440859,2978,8.92,13,66,350,100.3,30,1
VH1756,Bus,11,388833,1332,2.19,13,38,64,107.3,30,1
VH1757,Van,3,64099,446,8.64,3,54,121,92.6,73,0
VH1758,Truck,10,403737,3494,3.72,13,62,70,105.3,33,1
VH1759,Mini Truck,4,159423,465,5.07,5,56,523,90.0,71,0
VH1760,Truck,8,369982,888,3.4,11,83,397,102.5,33,1
VH1761,Truck,10,339363,2966,2.6,12,39,331,95.5,30,1
VH1762,Truck,4,148089,518,2.75,5,59,564,94.2,66,0
VH1763,Bus,4,105312,1397,3.31,5,52,591,95.4,79,0
VH1764,Bus,12,295319,4098,3.28,13,75,489,100.4,30,1
VH1765,Bus,2,50932,344,3.1,1,94,365,93.0,80,0
VH1766,Van,9,412265,2163,13.41,14,100,352,95.0,30,1
VH1767,Mini Truck,7,340326,1856,7.15,10,71,266,92.7,49,1
VH1768,Van,7,340725,1686,13.56,12,62,388,92.9,38,1
VH1769,Bus,8,264094,640,3.45,10,66,36,99.2,39,1
VH1770,Van,5,101721,1015,13.91,6,57,342,97.1,57,0
VH1771,Truck,12,384681,3227,3.78,15,49,116,101.3,30,1
VH1772,Truck,8,253233,1279,2.85,9,76,275,93.2,43,1
VH1773,Van,5,178722,588,11.42,6,57,99,92.6,59,0
VH1774,Mini Truck,8,205325,2639,9.13,9,42,327,93.3,46,1
VH1775,Truck,12,542138,2522,2.7,18,37,362,98.6,30,1
VH1776,Mini Truck,7,249188,2337,5.6,8,59,31,92.8,40,0
VH1777,Bus,1,29987,348,2.08,1,99,598,87.3,93,0
VH1778,Van,6,251701,1909,9.32,7,36,422,94.7,53,1
VH1779,Bus,10,464623,1168,2.44,14,67,423,106.7,30,1
VH1780,Van,3,104062,324,10.86,2,36,581,92.8,85,0
VH1781,Bus,5,122302,1216,3.0,4,46,158,95.8,74,0
VH1782,Bus,9,283865,2718,2.79,10,55,594,94.8,40,1
VH1783,Van,4,89390,865,12.66,4,71,111,93.2,73,0
VH1784,Truck,11,436836,2614,3.41,15,54,348,96.2,30,1
VH1785,Mini Truck,10,212691,2048,5.85,12,74,472,99.1,30,1
VH1786,Van,8,171764,1596,9.2,7,77,179,99.1,48,1
